N	S	Text	Imperative
1	Ж	Э, так это я вообще ни хуя не понимаю. Я грю, ты, она грит, те какая, хуй, разница, я или кто? Я грю, а к тебе этот, блядь, чурка ебаный, блядь, ходит, блядь. Я же никогда не разбираюсь, я вообще ни это, я грю, а щас буду, блядь, и ментам, блядь, и всем, на хуй, б-, блядь, это.	не, понимаю. ходит. не, разбираюсь, буду
1	М	Я [разъебу]. 	разъебу
1	Ж	Заебала, блядь. У меня просто, (Юр), я те говорю, я тебе не плачусь.	говорю, не, плачусь
1	М	Да я по-любому разъебу. Да я понял, я (нрзб.)	разъебу
1	Ж	Просто ты ей объясни, мозги пусть не ебёт нам, блядь. Я не буду её терпеть, блядь.	объясни, пусть, не, ебёт. не, буду, терпеть
1	М	Вот эта хуйня самого, блядь, ни хуя себе, блядь, она ментам звонит, охуела, что ль. (нрзб.)	звонит, охуела
1	Ж	Дак это…	
1	М	Как ей надо, блядь, она мне звонит, а как, блядь, на хуй, тут, она ментам звонит (нрзб.). Я ей устрою.	надо, звонит, звонит. устрою
1	Ж	И, и, и смотри, ты мне это, ты мне э-, это, тогда сказал, когда, помнишь, меня обокрали? Вот это вот.	смотри, сказал, помнишь, обокрали
1	М	Да не вопрос.	
1	Ж	Ты мне гришь, ты на хуя, блядь, туда полезла? Чё, не могла мне позвонить? Я это запомнила, блядь. Я это запомнила. Это пиздец полный, блядь.	гришь, полезла
1	М	(нрзб.), ёбаный в рот.	
1	Ж	Ни хуя себе, блядь. Н-, ну, пацан живёт, ну, хуёво ему, это, (Юр), ну, хуёво. Ну, включил музыку, ну просто п-, подошла, сказала, ты выключи.	живёт. выключи
1	М	Да по-любому разберёмся.	разберёмся
1	Ж	Ты понимаешь, чё, е-, я-то (Венеру) тоже пиздюляку даю, он, он нормальный они это с (Колей). Я грю, вы чё там, а он грит, мам, я ушёл спать, (Коля) включил музыку, и это, музыка играла. Ну, не слышал он, грит, мам. Ну а эта, блядь, ментов, блядь, вызвала.	понимаешь, даю
1	М	Ну, в натуре, охуела.	
1	Ж	Да й-, я-то тоже с, с ментами нормально, они вон пятьсот рублей штраф выписали, потому что этот, как его, был этот, ну, как…	
1	М	Да ну какая разница, это там, ну, ты решаешь эти вопросы. Решаешь, слава богу, блядь. Ну, чё это, сука, за мода такая, охуела, что ли? Я (нрзб.).	решаешь. решаешь
1	Ж	Й-, й-, я те просто, (Юр), говорю вот…	говорю
1	М	Я разъебу обязательно.	разъебу
1	Ж	Ты, когда ко мне пришёл, гришь, (Венер) у тя охуел. Это (Венер) не охуел, я (Венеру) так охуею, я ему пизды, блядь, дам. Это она уехала, блядь. Она тебе расплакалась, и ты мне это, помнишь, мы с тобой так сцепились? Помнишь?	гришь, охуел. дам. помнишь, сцепились. помнишь
1	М	Завтра разберёмся обязательно.	разберёмся
1	Ж	Н-, ну, (Юр), блядь, о-, она заебала уже, блядь. Вот честно говорю.	говорю
1	М	Всё завтра решим, нь-, нь-, не психуй чё-то, нь-, не ори. Нормально всё будет.	решим, не, психуй, не, ори. будет
1	Ж	Н-ну, ладно. Ладно. Ещё это, как, с тобой хотела поговорить, ну, это, не завтра. На выходные давай увидимся? У меня это, кое-какие дела такие интересные есть.	давай, увидимся
1	М	Давай, хорошо.	
1	Ж	Ага. Ну всё, (Юр). 	
1	М	Давай.	
1	Ж	Ладненько, давай. Извини уж это, на эмоциях. Ладно?	извини
1	М	Да нормально, нормально. Завтра разберёмся. Не психуй.	разберёмся. не, психуй
1	Ж	Ну, просто это, я говорю как есть.	говорю, есть
1	М	Всё [нормально].	
1	Ж	Она заебала, блядь. Плачет, блядь, расплакалась. Ты мне гришь, баба плачет, на хуй, (Венер). Она вот заебала с этой чуркой, блядь, там. Н-, ну, всё. (Юр), извини, ладно?	плачет, расплакалась. гришь, плачет. извини
1	М	Давай, давай.	
1	Ж	Давай, давай. Давай, пока.	
2	М1	Да, (Юр)!	
2	М2	Алё!	
2	М1	Да, (Юрань)!	юрань
2	М2	Ну и чё, где ты лазишь-то?	лазишь-то
2	М1	Лечу домой. Там, блядь, прихватили, сука, этих.	лечу
2	М2	Тебя?	
2	М1	Нет, солевых.	нет
2	М2	Где? Кто?	
2	М1	Меня жду-, меня ждут. А?	ждут
2	М2	Где? Кто?	
2	М1	Там же в повороте. И у меня (Мухич) там стоит, глаза мои.	стоит
2	М2	А где это там? Может, подъехать туда?	может, подъехать
2	М1	Ну, хочешь, подскочи туда.	хочешь, подскочи
2	М2	А где?	
2	М1	В сто-, вот выезжаешь в сторону старого кладбища, от двадцати четырёх часов, от Гамидовских.	выезжаешь
2	М2	Ну.	
2	М1	И первый поворот, (Юр), сразу налево. Ты там проедешь спокойно. Тем более, а, тем более на икс шестом, блядь. Заезжай, там (Мухич). Он их держит. 	проедешь. заезжай. держит
2	М2	Ну, я нашёл пятый номер так-то.	
2	М1	Ещё раз.	
2	М2	Нашёл я пятый номер по делу по нашему.	
2	М1	А, всё услышал. Понял. Хорошо. Давай щас этот, посмотрим, чё имеем.	давай, посмотрим, имеем
2	М2	Давай.	
2	М1	Давай.	
3	М1	Да, (Юр)!	
3	М2	Чё, вы там же?	
3	М1	(Форд Мондео), да, п-, подъеде-, можешь подъехать?	можешь, подъехать
3	М2	Туда же?	
3	М1	Да.	
3	М2	Ну, блядь, давай тока в поворот заезжать не буду?	давай, заезжать, не, буду
3	М1	Не, не, не, да мы выехали с поворота, мы на дороге стоим. Мы выезжали оттуда, и подъехала машина – юганские, (Форд Мондео).	стоим
3	М2	Давай, давай.	
4	М1	Алё!	
4	М2	(Радик), привет!	
4	М1	Привет! 	
4	М2	Узнал?	
4	М1	Нет.	нет
4	М2	(Юра) из (Пойково).	
4	М1	А, да, привет-привет, (Юр)!	
4	М2	(Радик)!	
4	М1	Да.	
4	М2	У меня вот тут вот (Форд Мондео) стоит восьмого года.	стоит
4	М1	Угу.	
4	М2	Чё, ни за скока не заберёшь?	не, заберёшь
4	М1	М-м, пока денег нет. Мы пока вложили в другой бизнес, там, блядь, хуй его знает, чё-то с деньгами непонятное, чё кого будет.	нет. знает, будет
4	М2	Так отдал бы за пару соток, ваще с неба упал.	
4	М1	А-а, (Форд Мондео). А год?	
4	М2	Восьмой.	
4	М1	Две тыщи восьмой год. Угу. Так, так, так, так, так, та-ак. Ну, пока не-, пока, (Юр), ничё не могу сказать.	не, могу, сказать
4	М2	Ясно.	
4	М1	Даже, наверно, м-м, так, (Мондео), (Мондео). Ну. Пока, пока ничё не могу, (Юр), сказать. Это чё тва-, это твои цифры, да?	не, могу, сказать
4	М2	Да, это мои цифры, да.	
4	М1	А, чё-то у меня не высветилось.	
4	М2	Забей.	забей
4	М1	Я понял, ну щас забью, ну, чтоб был ты у меня.	забью, был
4	М2	Давай, давай.	
4	М1	Давай, я позвоню, если чё, давай. Давай, ага.	позвоню
5	М1	Алё!	
5	М2	Слышь?	слышь
5	М1	А-а?	
5	М2	Блядь, я бы вот на твоём месте, блядь, работу бросил, ёбаный. (Кислый) сёдня уже там прихватил, блядь, ебать, и стока народу, блядь, это пиздец.	
5	М1	(Смеётся)	смеётся
5	М2	И юганский, и каркатейский, эти, блядь, ебать там, клондайк, на хуй, ёба, мне надо, наверно, самому уже там встать, блядь.	надо, встать
5	М1	(Смеётся) Я же стоял в свободное от работы время, блядь.	смеётся, стоял
5	М2	Братан, это хуйня. Чё щас было.	
5	М1	Чё?	
5	М2	Ну, звонит мне (Кислый), я вот с тобой поговорил, короче.	звонит, поговорил
5	М1	Ну.	
5	М2	Стою там на первом мосту, ну, нервничаю. Знаешь, курю сигарету.	стою, нервничаю. знаешь, курю
5	М1	Угу.	
5	М2	(Кислый), блядь, подъедь срочно, тут (Форд Мондео) туда-сюда, короче, юганские. 	подъедь
5	М1	Угу.	
5	М2	Подъезжаю, они с ребёнком, с десятилетним пацаном, представляешь?	подъезжаю, представляешь
5	М1	(нрзб.)	
5	М2	Всё, пока стоим, их морщим, морщим, морщим, морщим, блядь, едет машина.	стоим, морщим, морщим, морщим, морщим, едет
5	М1	Угу.	
5	М2	Как ты думаешь, какая?	думаешь
5	М1	(Смеётся) Да хуй знает. Говори, блядь.	смеётся, знает. говори
5	М2	(Мицубиси), братан.	
5	М1	Охуеть. Тоже туда, да?	
5	М2	Едет (Мицубиси) серебристая.	едет
5	М1	Охуеть.	
5	М2	Я охуел! 	
5	М1	И чё?	
5	М2	Я просто охуел, подъезжает, я грю, ты чё, сука, тут делаешь?	подъезжает, делаешь
5	М1	(нрзб.)	
5	М2	Он мне показывает какую-то табличку с могилы и шуруповёрт, блядь. Да на кладбище еду, там, ёбана в рот, туда-сюда, короче, представляешь?	показывает. представляешь
5	М1	(Смеётся) Жесть. Ну, блядь…	смеётся
5	М2	На кладбище еду, там туда-сюда, и похуярил на кладбище, на обратном пути остановился, там туда-сюда, там туда-сюда, короче. Ну, блядь, я ваще, я, блядь, я думал, щас я его пристрелю, там понимаешь, короче.	пристрелю, понимаешь
5	М1	(Смеётся) Жесть. Ну, хуй с ним, совпадение.	смеётся
5	М2	А?	
5	М1	Я грю, хуй с ним, совпадение.	
5	М2	Блядь, ну это такие совпадения тоже, может, он уже таблички, сука, с собой возит. 	может, возит
5	М1	Ну, блядь, щас это, будет ездить, блядь, с этим, с-, с лукошком, блядь, грибы пойдут, на хуй.	будет, ездить, пойдут
5	М2	Да, да, со спиннингом там. 	
5	М1	Со спиннингом, [блядь]. (Смеётся)	смеётся
5	М2	Сука.	
5	М1	Сука. Ещё там чё-то (нрзб.) это, блядь, с лестницей, чагу собирать, на хуй. (Смеётся)	смеётся
5	М2	(Смеётся) [Представляешь?]	смеётся, представляешь
5	М1	(Смеётся) (нрзб.) 	смеётся
5	М2	Блядь, вот у меня сёдня, блядь, ебать. Я один день, на хуй, ёбана в рот, в, блядь, туда, там же, сука, выехал, блядь, на это, сука, место преступления, блядь, или происшествия, или как там вообще на-… 	день, выехал
5	М1	(нрзб.)	
5	М2	Ебать, я тут, ну, я, пиздец, нервов по-…	
5	М1	Вчера (Кислый-то) нормально сморщил?	
5	М2	А?	
5	М1	Норма-, нормально, говорю, наморщил или так всё, блядь, тоже, блядь, эти, не хуй взять?	говорю, наморщил, взять
5	М2	Да не, ну я чё, я раз подъехал там, вот эти, каркатейских там трое. Вон они до сих пор у (Кислого) в машине, щас он их повезёт в (Каркатеево). Тут эту, курицу, я ж те грю, блядь, увидел, у меня, сука, блядь, забрало упало, ёбана в рот.	повезёт
5	М1	Пиздец, в натуре (нрзб.).	
5	М2	Тут, блядь, ёбаный в рот, эти в-, тут подъехали опять, тут стоим, мор-, ну, блядь, разбор полётов. Тут этот едет, ну, ты представляешь, он пока до меня доехал двадцать метров, представляешь, чё у меня в голове прокрутилось?	стоим. едет, представляешь, доехал, представляешь, прокрутилось
5	М1	Ну, пиздец. Да конечно, чё, я сам охуел, увидел бы его. 	
5	М2	Ещё (Кислый) грит, да ну, на хуй. Смотри, кто едет. Я поворачиваюсь, у меня аж ноги подкосились, я аж присел.	смотри, едет. поворачиваюсь, подкосились, присел
5	М1	(Смеётся) Пиздец. Ну, и тот охуел по ходу, слышь, вас там увидел. (Смеётся)	смеётся. слышь, увидел. смеётся
5	М2	Табличка какая-то с могилой там, блядь. (Мишин) какой-то или кто там, хуй пойми.	пойми
5	М1	(нрзб.) (Прерывистое звучание), по ходу. 	
5	М2	Шуруповёрт, грит, показать? Я грю, иди, крути, блядь, шуруповёрт, на хуй.	иди, крути
5	М1	(Смеётся) Подготовился, хули.	смеётся, подготовился
5	М2	[Похо-], ну, блядь, е-, меня, ну, вот мне, в натуре, я просто на нервах, знаешь, мне так… (Смеётся)	знаешь. смеётся
5	М1	(Смеётся)	смеётся
5	М2	Это я щас уже еду, блядь, ну, надо было сказать, ни хуя ты подготовился, блядь.	надо, было, сказать, подготовился
5	М1	Истерика, блядь. Ой, блядь. 	
5	М2	Жесть, блядь.	
5	М1	В натуре жесть. Ну да, чё, хули. Это щас рано или поздно…	
5	М2	Ужасные люди, блядь, ёбаный в рот.	
5	М1	Это рано или поздно, один хуй, щас (нрзб.).	
5	М2	А эти твари приехали на (Форд Мондео), понял? Один, один грит, бля, и у меня Рамадан, я уразу держу. 	держу
5	М1	Охуеть.	
5	М2	А, а чё ты, пидор, сука, ты приехал тогда сюда за солью, бля? Ну, после восьми же можно хавать.	можно, хавать
5	М1	Жесть. В натуре (нрзб.)	
5	М2	Так тебе, пидор, хавать можно.	можно
5	М1	(нрзб.)	
5	М2	Хавать тебе можно, пидор, или ты солью, ты, ты лаваш солью присыпаешь или чё? Пидор ты ёбаный. И у…	можно, присыпаешь
5	М1	Вообще, блядь. 	
5	М2	… второй с ним, короче, блядь, пацаны, у меня двое детей, ни жены, никого, жена умерла, двое детей, блядь. И с ним десятилетний пацан в машине плачет сидит, прикинь.	плачет, сидит
5	М1	Вот так тоже, блядь, этот гондон (нрзб.).	
5	М2	Я грю, ты, пидорасина ебаная… 	
5	М1	Ваще (нрзб.).	
5	М2	… а если, грю, я щас дам твоему малому, грю, заню-, разнюхаться? Ты как на это посмотришь, ты, хуесос? Из-за того, что вы, бляди, сюда ездите, брать, блядь, из-за вас, на хуй, из-за пидорасов, короче, здесь и ложат.	дам, разнюхаться. посмотришь. ездите, брать, ложат
5	М1	Угу.	
5	М2	Не было бы вас, на хуй, здесь бы не ложили, ёбаный в рот. Ну, правильно, нет?	нет
5	М1	Да когда я слышу малого, у этого же он, блядь, вместо того, чтоб ему, блядь, там чё-то взять, он приехал за этой, залупой. И, бля, бедного там врубает, на хуй, дети…	слышу, взять, приехал. врубает
5	М2	Погоди, погоди.	погоди, погоди
6	М2	Алё!	
6	М1	Алё, (Юрец)!	
6	М2	А?	
6	М1	Короче, смотри, братан. А-э, машина не на него, короче, оформлена, а, ну, купля-продажа у него. Ну, она, он грит, это моя, но не на меня оформлена.	смотри
6	М2	Ну, купля-продажа же есть, и чё? Какая разница.	
6	М1	Ну да. Ну, щас я дойду до (Маши), там всё. Ладно, хорошо, давай.	дойду, маши
6	М2	Он по купле-продаже может сделать также куплю-продажу.	может, сделать
6	М1	Ага.	
6	М2	Паспорт у него с собой?	
6	М1	(Говорит в сторону) Паспорт с собой у тя? (Обращается к диктору «М1») Паспорта нету у него. А все остальные документы: ПэТээС, эСТээС – всё здесь.	говорит. обращается, нету
6	М2	Права у него с собой?	
6	М1	(Говорит в сторону) Права с собой у тя?	говорит
6	М?	Да.	
6	М1	Да, права с собой. (нрзб.)	
6	М2	По-любому, ну, заедь к (Машке), узнай.	заедь, узнай
6	М1	Давай.	
7	М1	Алё, алё!	
7	М2	Да пиздец, блядь, ебать.	
7	М1	Чё?	
7	М2	Да они там, пацаны звонили, там, ебать, мы ху-, это, если у него машина ещё не переоформлена, купля-продажа на него сделана, он же может тоже куплю-продажу сделать?	может, сделать
7	М1	Так, если не пе-, не переоформлена, (нрзб.) купли-продажи. Всё, просто это, хозя- чтобы знал данные, ну, этого.	
7	М2	А, ну то есть позвонить хозяину, короче, блядь, и это, да?	
7	М1	Да, да, да, что, то есть, ну, собств-, ну, ГАИ же не работает, туда-сюда.	не, работает
7	М2	Ну, ну.	
7	М1	Тот должен был, короче, вписаться в ПэТээСку, поставиться на учёт, потом только продавать.	поставиться, продавать
7	М2	Понятно, а он ещё не поставил её на учёт. Купля-продажа у него тока.	
7	М1	Всё, и, и да, если, короче, в ПэТээСку не вписывался, всё просто. Н-, на другого купля-продажа, и всё, и поехали. Вон (нрзб.) до сих пор же так ездит. Там даже вот, мы же как бэху твою отгоняли. Куплю-продажу написали, и страховка не нужна.	ездит
7	М2	Всё, всё.	
7	М1	И можно вот так и двигаться, и двигаться, писать, писать, писать.	можно, двигаться
7	М2	Всё, понял. Всё, понял. Давай, созвон.	
7	М1	Чё там, переоформляет же? (Смеётся)	переоформляет. смеётся
7	М2	Ну, щас посмотрим.	посмотрим
7	М1	Давай, на связи. Давай, давай.	
8	М2	Алё!	
8	М1	Алё, Ю-, (Юр), да, (Юрань)!	юрань
8	М2	Чё?	
8	М1	Ничё, вот всё, права забрал, ключи забрал, вот захожу до (Маши).	захожу, маши
8	М2	А, ну, всё, всё. Там, короче, как, там это, по-моему, надо будет просто позвонить бывшему хозяину, чтобы он был в курсе, и всё.	надо, будет, позвонить, был
8	М1	А.	
8	М2	А так вон, а так (Фунт) вон, по-моему, так же уже двигается, хуй знает, скока по купле-продаже, и всё, короче, да, бля.	двигается, знает
8	М1	Ну, ну, ну. А чё (Юрец) (нрзб.).	
8	М2	Это, узнай у (Маши), к-, как-, как лучше сделать, да и всё.	узнай, маши, лучше, сделать
8	М1	Давай после этого как бы словимся, чё там уже, вот, человек ответил. Там уже спрашивает, интересуется, чё, вот сотка есть уже как бы. Такой момент.	давай, словимся, ответил. спрашивает, интересуется, есть
8	М2	Ну, вы сначала с машиной решите, с этими решите сначала.	решите, решите
8	М1	Ну, давай, давай, хорошо, хорошо.	
8	М2	Сначала с этими решите, а дальше будешь. 	решите, будешь
8	М1	Давай, давай.	
9	М2	Алё!	
9	М1	Алё, (Юрец)!	
9	М2	Угм.	
9	М1	Мы вот, ну, к (Маше) зашли, там, короче, паспортные данные нужны, братан.	зашли
9	М2	Чё, чё?	
9	М1	Паспорт нужен, паспорта с собой у него нету. Чё, я машину забираю на, на стоянку ставлю с документами, да, с его правами, со всей фигнёй? Если через три дня привезёт, привезёт, не привезёт, вот всё, да? Правильно же или как?	нету. забираю, ставлю. три, привезёт, привезёт, не, привезёт
9	М2	Ну, а он чё говорит, привезёт?	говорит, привезёт
9	М1	(Говорит в сторону) Ты, ну, ты прин-, ты, ты чё вообще думаешь по поводу этого? (Обращается к диктору «М2») Он думает, где деньги взять.	говорит, думаешь. обращается, думает, взять
9	М2	М-м.	
9	М1	Вот такой момент. М-, мы здесь, возле (Маши), короче. 	маши
9	М2	Поставьте, на хуй, тачку на прикол, короче, блядь. Полностью данные, где живёт, всё, всё, всё, короче, у него, на хуй.	поставьте. живёт
9	М1	Не, ну он, у него здесь права остаются, все документы же у нас остаются.	остаются, остаются
9	М2	Понятно, короче, ну, вы это.	
9	М1	Угу.	
9	М2	Узнайте, где он живёт. Ну (нрзб.).	узнайте, живёт
9	М1	Хорошо (нрзб.).	
9	М2	Все, все вот эти моменты, короче, чтоб потом не бегать за ним, на хуй.	
9	М1	Ладно, давай.	
9	М2	И второго тоже так-то.	
9	М1	Ну, второй-то вот он с ним будет рассчитываться. Мы же вот так вот уже (нрзб.).	будет, рассчитываться
9	М2	Понятно. Чтобы, блядь, ну. Как их найти потом, чтобы, блядь, если загося-, загасятся.	загасятся
9	М1	Ну, ну, ну. Хорошо, всё, (Юрец), понял тя. Давай.	
10	М1	Алё!	
10	М2	Братан, а кто на стоянке там у тя?	
10	М1	(Юра). 	
10	М2	Скажи ему, что это...	скажи
10	М1	Угм.	
10	М2	Прибу-, на штраф мы там поставим (Мондео).	поставим
10	М1	У-, у, чё мы, не записываем, или, бля, записывает хозяина?	не, записываем, записывает
10	М2	Не, не, ну, мы [их просто], заебал ты, блядь. Ещё я те потом попаду, на хуй, за эту (Мондео), блядь.	попаду
10	М1	Заебал ты, блядь. Попадёшь, бля. Он просто, блядь, потом, блядь, пойдёт.	попадёшь. пойдёт
10	М2	Не, не, ну, что...	
10	М1	Мы скажем, что он пришёл, сам парканул её, блядь. Правильно?	скажем
10	М2	Вот, ну всё, делай всё по уму!	делай
10	М1	Ну вот, я тебе за чё и говорю, что [подняться] там, всё.	говорю, подняться
10	М2	Делай, делай по уму де-, да, по уму делай.	делай, делай, делай
10	М1	Угу. Всё, давай.	
10	М2	Просто я те говорю, пригоним, поставим. Белая (Мондео).	говорю, пригоним, поставим
10	М1	Давай, давай, хорошо.	
11	М1	Алё, чё делаешь?	делаешь
11	М2	Блядь, ничё, общаемся сидим в машине.	общаемся, сидим
11	М1	Бля, можешь подъехать?	можешь, подъехать
11	М2	Куда?	
11	М1	Сюда же.	
11	М2	Да пиздец.	
11	М1	Тут это, тут твой возраст, тут твой конти-, хохол, знаешь такого, с (Пыть-Яха)?	знаешь
11	М2	Да щас подъедем.	подъедем
11	М1	Давай, давай, сюда прям подъезжай.	подъезжай
12	Ж	(Юр), привет! Не разбудила?	
12	М	Привет! Кто это?	
12	Ж	Это (Галя), соседка твоя бывшая.	
12	М	Здорово!	
12	Ж	(Юра), можно с тобой переговорить по поводу, помнишь, э-э, я те говорила, что у меня (Миша) в (Тюмени)?	можно, переговорить, помнишь, говорила
12	М	Ну и чё?	
12	Ж	А-а, звонил ночью, по ходу, получается-а, он пытается доить меня через, именно что, угм, через ментов, что ли, потому что он сказал после, ну, когда этот, грит, мне идти н-, пора. Идти надо типа. И я понимаю, это же с их позволения, да, он звонил?	пытается, доить, сказал, идти. надо. понимаю, звонил
12	М	С сотового он звонил?	
12	Ж	Да, с сотового звонил.	
12	М	Ну, и с какого с ихнего позволения он мог звонить? Не мог он звонить с их позволения по сотовому.	
12	Ж	Ну-у, там всё время глушило, ну, а он чё, может с камеры выйти, что ль куда-то, если он сказал, у него слова были такие, что мне пора идти? 	может, выйти, сказал, были, идти
12	М	Никуда он не может выйти.	не, может, выйти
12	Ж	Ну, он в СИЗО ещё.	
12	М	Ну, в СИЗО он д-, это, скажи мне.	скажи
12	Ж	Сокамерники, блатные (нрзб.).	
12	М	В хате, в хате у них телефон там, или просто толкнули им в хату телефон, да и всё.	
12	Ж	А, ну, пытается меня доить, вчера он у меня спрашивал двадцать тысяч типа отправить. Я грю, ну, у меня даже адвоката, я нанима-, этот, брала в долг, э, даже до сих пор никак не могу рассчитаться. И ещё и адвокату до сих пор должна.	пытается, доить, спрашивал, отправить. не, могу, рассчитаться
12	М	Ты мне данные его скинь на («Ватсап»).	скинь
12	Ж	Ага.	
12	М	Я туд-, я туда позвоню положенцу, блядь, и не станет он тебя, блядь, больше доить, на хуй.	позвоню, не, станет, доить
12	Ж	Угу. Хорошо, щас я напишу тебе этот, э-э…	напишу
12	М	На («Ватсап») скинь мне его данные там: фамилия, имя, отчество, год рождения, статья какая у него. Его там найдут, на хуй, пропиздон ему вставят.	скинь. найдут, вставят
12	Ж	Э-э, кому? (Мише)?	
12	М	Конечно.	
12	Ж	А (Мише-то) зачем?	
12	М	А кто тя доит-то?	доит-то
12	Ж	(Миша) – это мой сын, через е-, его…	мой
12	М	Ну.	
12	Ж	Ему дали сотовый, чтобы он позвонил, э-э, (Прерывистое звучание) кого-то денег.	
12	М	Ну, я узнаю, кто там и чё там, блядь, с какой целью там деньги ему надо. Я выясню.	узнаю, надо. выясню
12	Ж	Угу. Ну-у, (Юр), мне не хочется, чтоб ему как бы этот…	не, хочется
12	М	Ты мне скинь данные, я всё выясню, с какой целью, потому что он сам там может или проиграл, или чё, блядь. И тебя наёбывает. Это очень часто происходит, в основной массе так оно и происходит.	скинь, выясню, может, проиграл. наёбывает. происходит, происходит
12	Ж	Я ему сразу говорю, я грю, (Миша), такие моменты, грю, что вот мне даже (Гутарев) сказал, грит, никогда пусть в карты не играет и в долг никогда не берёт. Даже заварку, грит, в-, один возьмёт, два вернёт.	говорю, сказал, пусть, не, играет, не, берёт. возьмёт, вернёт
12	М	Ну, ему больше не, ему там больше ни на что деньги не нужны. Двадцать тысяч. И тем более он тебе обозначает конкретную сумму. Если бы ему там, допустим, надо было на товарку, скажем так, на магазин, он бы тя попросил, мама, отправь мне, скока можешь, и то на лицевой счёт. А он же там тебе го-…	обозначает. допустим, надо, было, скажем, попросил, отправь, можешь
12	Ж	Это я, это я ему делаю, (Юр).	делаю
12	М	Всё, а это, значит, ну, наиграл, блядь, или на наркотики, или проиграл, блядь, или чё.	
12	Ж	Н-, нет, (Юр). Уль-, он сам не употребляет наркотики и играть, не будет играть.	нет. не, употребляет, играть, не, будет, играть
12	М	Откуда ты знаешь?	знаешь
12	Ж	М…	
12	М	А ш-, откуда ты знаешь?	знаешь
12	Ж	Знаю, (Юр).	знаю
12	М	Да успокойся, я тя умоляю. Они все так говорят. Все они так говорят.	успокойся, умоляю. говорят. говорят
